"IATA","airportID","name","city","country","ICAO","latitude","longitude","altitude","timezone","DST","tzFormat","typeAirport","Source","totalFlights"
\N,2113,"Lavan Island Airport","Lavan Island","Iran","OIBV",26.8103008270264,53.3563003540039,76,3.5,"E","Asia/Tehran","airport","OurAirports",\N
\N,2118,"Hesa Airport","Daran","Iran","OIFE",32.9289016723633,51.5611000061035,5256,3.5,"E","Asia/Tehran","airport","OurAirports",\N
\N,2119,"Shahid Vatan Pour Air Base","Esfahan","Iran","OIFH",32.5670013427734,51.6916007995605,5310,3.5,"E","Asia/Tehran","airport","OurAirports",\N
\N,2120,"Kashan Airport","Kashan","Iran","OIFK",33.8953018188477,51.5769996643066,3465,3.5,"E","Asia/Tehran","airport","OurAirports",\N
\N,978,"Lumbo Airport","Lumbo","Mozambique","FQLU",-15.0331001282,40.6716995239,33,2,"U","Africa/Maputo","airport","OurAirports",\N
\N,980,"Mueda Airport","Mueda","Mozambique","FQMD",-11.6729001998901,39.5630989074707,2789,2,"U","Africa/Maputo","airport","OurAirports",\N
\N,982,"Marrupa Airport","Marrupa","Mozambique","FQMR",-13.2250995635986,37.5521011352539,2480,2,"U","Africa/Maputo","airport","OurAirports",\N
\N,2130,"Ghale Morghi Airport","Teheran","Iran","OIIG",35.6447982788086,51.3806991577148,3627,3.5,"E","Asia/Tehran","airport","OurAirports",\N
\N,2132,"Qazvin Airport","Ghazvin","Iran","OIIK",36.240101,50.0471,4184,3.5,"E","Asia/Tehran","airport","OurAirports",\N
\N,987,"Songo Airport","Songo","Mozambique","FQSG",-15.6027002334595,32.7732009887695,2904,2,"U","Africa/Maputo","airport","OurAirports",\N
\N,989,"Ulongwe Airport","Ulongwe","Mozambique","FQUG",-14.7046003341675,34.3524017333984,4265,2,"U","Africa/Maputo","airport","OurAirports",\N
\N,991,"Alphonse Airport","Alphonse","Seychelles","FSAL",-7.00478,52.7262,10,4,"U","Indian/Mahe","airport","OurAirports",\N
\N,993,"Farquhar Airport","Farquhar","Seychelles","FSFA",-10.1096,51.176102,10,4,"U","Indian/Mahe","airport","OurAirports",\N
\N,2143,"Sarakhs Airport","Sarakhs","Iran","OIMC",36.5012016296387,61.0648994445801,945,3.5,"E","Asia/Tehran","airport","OurAirports",\N
\N,996,"Coetivy Airport","Coetivy","Seychelles","FSSC",-7.13457,56.278198,10,4,"U","Indian/Mahe","airport","OurAirports",\N
\N,2154,"Jahrom Airport","Jahrom","Iran","OISJ",28.5867004395,53.5791015625,3358,3.5,"E","Asia/Tehran","airport","OurAirports",\N
\N,1002,"Charles Prince Airport","Harare","Zimbabwe","FVCP",-17.7516002655029,30.9246997833252,4845,2,"U","Africa/Harare","airport","OurAirports",\N
\N,2158,"Khoy Airport","Khoy","Iran","OITK",38.4275016784668,44.9735984802246,3981,3.5,"E","Asia/Tehran","airport","OurAirports",\N
\N,1007,"Mutoko Airport","Mutoko","Zimbabwe","FVMT",-17.4319000244141,32.1845016479492,3950,2,"U","Africa/Harare","airport","OurAirports",\N
\N,1008,"Mutare Airport","Mutare","Zimbabwe","FVMU",-18.997499465942,32.627201080322,3410,2,"U","Africa/Harare","airport","OurAirports",\N
\N,1010,"Zvishavane Airport","Zvishavane","Zimbabwe","FVSH",-20.2894992828369,30.0881996154785,3012,2,"U","Africa/Harare","airport","OurAirports",\N
\N,7134,"Nabern/Teck Airport","Kirchheim-Teck","Germany","EDTN",48.61277771,9.47722244263,1214,1,"E","Europe/Berlin","airport","OurAirports",\N
\N,1015,"Kasungu Airport","Kasungu","Malawi","FWKG",-13.0145998001099,33.4686012268066,3470,2,"U","Africa/Blantyre","airport","OurAirports",\N
\N,2173,"Prince Hassan Air Base","Hotel Four","Jordan","OJHF",32.160702,37.149399,2220,2,"E","Asia/Amman","airport","OurAirports",\N
\N,1019,"Mejametalana Airbase","Maseru","Lesotho","FXMU",-29.3041000366211,27.5034999847412,5105,2,"U","Africa/Maseru","airport","OurAirports",\N
\N,1023,"Kitona Base Airport","Kitona Base","Congo (Kinshasa)","FZAI",-5.91805982589722,12.447699546814,394,1,"N","Africa/Kinshasa","airport","OurAirports",\N
\N,2184,"Al Dhafra Air Base","Abu Dhabi","United Arab Emirates","OMAM",24.2481994629,54.5476989746,77,4,"U","Asia/Dubai","airport","OurAirports",\N
\N,2186,"Das Island Airport","Das Island","United Arab Emirates","OMAS",25.1462001800537,52.8736991882324,12,4,"U","Asia/Dubai","airport","OurAirports",\N
\N,1029,"Kotakoli Airport","Kotakoli","Congo (Kinshasa)","FZFP",4.15763998031616,21.650899887085,1801,1,"N","Africa/Kinshasa","airport","OurAirports",\N
\N,1034,"Buta Zega Airport","Buta Zega","Congo (Kinshasa)","FZKJ",2.81835007667542,24.7936992645264,1378,2,"U","Africa/Lubumbashi","airport","OurAirports",\N
\N,2205,"Shahbaz Air Base","Jacobsbad","Pakistan","OPJA",28.284200668335,68.4496994018555,185,5,"N","Asia/Karachi","airport","OurAirports",\N
\N,1049,"Tessalit Airport","Tessalit","Mali","GATS",20.2430000305176,0.977307975292206,1621,0,"N","Africa/Bamako","airport","OurAirports",\N
\N,2213,"Masroor Air Base","Karachi","Pakistan","OPMR",24.8936004638672,66.9387969970703,35,5,"N","Asia/Karachi","airport","OurAirports",\N
\N,2216,"Okara Cantonment Airstrip","Okara","Pakistan","OPOK",30.7409992218,73.3576965332,568,5,"N","Asia/Karachi","airport","OurAirports",\N
\N,9414,"Souther Field","Americus","United States","KACJ",32.1108017,-84.18890381,468,-5,"A","America/New_York","airport","OurAirports",\N
\N,2220,"Qasim Airport","Qasim","Pakistan","OPQS",33.5601997375488,73.033203125,1581,5,"N","Asia/Karachi","airport","OurAirports",\N
\N,1060,"Cufar Airport","Cufar","Guinea-Bissau","GGCF",11.2878999710083,-15.1805000305176,65,0,"N","Africa/Bissau","airport","OurAirports",\N
\N,2224,"Risalpur Air Base","Risalpur","Pakistan","OPRS",34.0811004638672,71.9726028442383,1050,5,"N","Asia/Karachi","airport","OurAirports",\N
\N,1067,"Ifrane Airport","Ifrane","Morocco","GMFI",33.505298614502,-5.15290021896362,5459,0,"N","Africa/Casablanca","airport","OurAirports",\N
\N,1071,"Ben Slimane Airport","Ben Slimane","Morocco","GMMB",33.6553993225,-7.22144985199,627,0,"N","Africa/Casablanca","airport","OurAirports",\N
\N,2241,"Doha International Airport","Doha","Qatar","OTBD",25.261100769,51.5651016235,35,3,"U","Asia/Qatar","airport","OurAirports",\N
\N,2261,"Longtan Air Base","Longtang","Taiwan","RCDI",24.8551006317139,121.237998962402,790,8,"U","Asia/Taipei","airport","OurAirports",\N
\N,1098,"Bir Moghrein Airport","Bir Moghrein","Mauritania","GQPT",25.2367000579834,-11.5887002944946,1206,0,"N","Africa/Nouakchott","airport","OurAirports",\N
\N,2271,"Hsinchu Air Base","Hsinchu","Taiwan","RCPO",24.8180007935,120.939002991,26,8,"U","Asia/Taipei","airport","OurAirports",\N
\N,2273,"Chihhang Air Base","Taitung","Taiwan","RCQS",22.7931003570557,121.181999206543,121,8,"U","Asia/Taipei","airport","OurAirports",\N
\N,1108,"Lideta Army Airport","Addis Ababa","Ethiopia","HAAL",9.003685,38.725498,7749,3,"U","Africa/Addis_Ababa","airport","OurAirports",\N
\N,9788,"Mesquite Metro Airport","Misquite","United States","KHQZ",32.7470016479492,-96.530403137207,447,-6,"A","America/Chicago","airport","OurAirports",\N
\N,7323,"Afobakka Airstrip","Afobaka","Suriname","SMAF",4.998505,-54.992033,80,-3,"U","America/Paramaribo","airport","OurAirports",\N
\N,2282,"Minami Torishima Airport","Minami Tori Shima","Japan","RJAM",24.2896995544,153.979003906,22,9,"U","Asia/Tokyo","airport","OurAirports",\N
\N,7332,"Kayser Airport","Kayser","Suriname","SMKE",3.09999990463257,-56.4830017089844,849,-3,"U","America/Paramaribo","airport","OurAirports",\N
\N,7333,"Kwamalasoemoetoe Airport Airport","Kwamelasemoetoe","Suriname","SMSM",2.33332991600037,-56.783332824707,905,-3,"U","America/Paramaribo","airport","OurAirports",\N
\N,2293,"Tokachi Airport","Tokachi","Japan","RJCT",42.8904991149902,143.158004760742,281,9,"U","Asia/Tokyo","airport","OurAirports",\N
\N,3501,"Robinson Army Air Field","Robinson","United States","KRBM",34.85010147,-92.30020142,587,-6,"A","America/Chicago","airport","OurAirports",\N
\N,1139,"Kakamega Airport","Kakamega","Kenya","HKKG",0.271342009306,34.7873001099,5020,3,"U","Africa/Nairobi","airport","OurAirports",\N
\N,8031,"Calgary / Springbank Airport","Calgary","Canada","CYBW",51.103099823,-114.374000549,3940,-7,"A","America/Edmonton","airport","OurAirports",\N
\N,1146,"Naivasha Airport","Naivasha","Kenya","HKNV",-0.787953019142151,36.4334983825684,6380,3,"U","Africa/Nairobi","airport","OurAirports",\N
\N,2314,"Kanoya Airport","Kanoya","Japan","RJFY",31.3675994873047,130.845001220703,214,9,"U","Asia/Tokyo","airport","OurAirports",\N
\N,2319,"Fukui Airport","Fukui","Japan","RJNF",36.1427993774,136.223999023,19,9,"U","Asia/Tokyo","airport","OurAirports",\N
\N,2320,"Gifu Airport","Gifu","Japan","RJNG",35.394100189209,136.869995117188,128,9,"U","Asia/Tokyo","airport","OurAirports",\N
\N,2321,"Hamamatsu Airport","Hamamatsu","Japan","RJNH",34.7501983642578,137.703002929688,150,9,"U","Asia/Tokyo","airport","OurAirports",\N
\N,1160,"Hon Airport","Hon","Libya","HLON",29.1100997924805,15.9656000137329,919,2,"N","Africa/Tripoli","airport","OurAirports",\N
\N,1161,"Dahra Airport","Dahra","Libya","HLRA",29.4726009368896,17.9349002838135,1050,2,"N","Africa/Tripoli","airport","OurAirports",\N
\N,2325,"Shizuhama Airport","Yaizu","Japan","RJNY",34.812801361084,138.298004150391,23,9,"U","Asia/Tokyo","airport","OurAirports",\N
\N,2329,"Hofu Airport","Hofu","Japan","RJOF",34.0346984863281,131.54899597168,7,9,"U","Asia/Tokyo","airport","OurAirports",\N
\N,1168,"Damazin Airport","Damazin","Sudan","HSDZ",11.785900116,34.3367004395,1582,3,"U","Africa/Khartoum","airport","OurAirports",\N
\N,9891,"Muara Bungo Airport","Muara Bungo","Indonesia","WIPI",-1.1278,102.135,214,7,"N",\N,"airport","OurAirports",\N
\N,2338,"Yao Airport","Osaka","Japan","RJOY",34.5962982177734,135.602996826172,39,9,"U","Asia/Tokyo","airport","OurAirports",\N
\N,2348,"Matsushima Air Base","Matsushima","Japan","RJST",38.4048995972,141.220001221,7,9,"U","Asia/Tokyo","airport","OurAirports",\N
\N,2350,"Atsugi Naval Air Facility","Atsugi","Japan","RJTA",35.4546012878418,139.449996948242,205,9,"U","Asia/Tokyo","airport","OurAirports",\N
\N,2355,"Shimofusa Airport","Shimofusa","Japan","RJTL",35.798900604248,140.011001586914,98,9,"U","Asia/Tokyo","airport","OurAirports",\N
\N,10089,"Lille/Marcq-en-Baroeul Airport","Marcq En Baroeul","France","LFQO",50.687198638916,3.07556009292603,69,1,"E",\N,"airport","OurAirports",\N
\N,7426,"Meru Mulika Airport","Meru National Park","Kenya","HKMK",0.229567,38.171412,2230,3,"U","Africa/Nairobi","airport","OurAirports",\N
\N,7428,"Yei Airport","Yei","Sudan","HSYE",4.13028160099,30.7280731201,2000,3,"U","Africa/Juba","airport","OurAirports",\N
\N,1204,"Grobnicko Polje Airport","Grobnik","Croatia","LDRG",45.3795013427734,14.5038003921509,951,1,"E","Europe/Zagreb","airport","OurAirports",\N
\N,2375,"A 511 Airport","Pyongtaek","South Korea","RKSG",36.9622001647949,127.03099822998,51,9,"U","Asia/Seoul","airport","OurAirports",\N
\N,1207,"Varaždin Airport","Varazdin","Croatia","LDVA",46.2946472167969,16.3829326629639,548,1,"E","Europe/Zagreb","airport","OurAirports",\N
\N,1211,"Albacete-Los Llanos Airport","Albacete","Spain","LEAB",38.9485015869,-1.86352002621,2302,1,"E","Europe/Madrid","airport","OurAirports",\N
\N,7467,"Selfoss Airport","Selfoss","Iceland","BISF",63.92919921875,-21.0377998352051,45,0,"N","Atlantic/Reykjavik","airport","OurAirports",\N
\N,1221,"Armilla Air Base","Granada","Spain","LEGA",37.1332016,-3.63568997,2297,1,"E","Europe/Madrid","airport","OurAirports",\N
\N,3592,"Tonopah Test Range Airport","Tonopah","United States","KTNX",37.7988014221,-116.78099823,5549,-8,"A","America/Los_Angeles","airport","OurAirports",\N
\N,2393,"Tarama Airport","Tarama","Japan","RORT",24.6539001465,124.675003052,36,9,"U","Asia/Tokyo","airport","OurAirports",\N
\N,7483,"Vanavara Airport","Vanavara","Russia","UNIW",60.3596992492676,102.323997497559,892,7,"N","Asia/Krasnoyarsk","airport","OurAirports",\N
\N,10156,"Yeysk Airport","Eysk","Russia","URKE",46.68,38.21,60,3,"N","Europe/Moscow","airport","OurAirports",\N
\N,1235,"Alcantarilla Air Base","Murcia","Spain","LERI",37.951099,-1.23032,250,1,"E","Europe/Madrid","airport","OurAirports",\N
\N,2408,"Lingayen Airport","Lingayen","Philippines","RPUG",16.0347995758057,120.240997314453,7,8,"N","Asia/Manila","airport","OurAirports",\N
\N,1239,"Son Bonet Airport","Son Bonet","Spain","LESB",39.5988998413086,2.70278000831604,157,1,"E","Europe/Madrid","airport","OurAirports",\N
\N,2411,"Mamburao Airport","Mamburao","Philippines","RPUM",13.2081003189087,120.605003356934,13,8,"N","Asia/Manila","airport","OurAirports",\N
\N,7496,"Cecil Airport","Jacksonville","United States","KVQQ",30.2187004089,-81.876701355,81,-5,"A","America/New_York","airport","OurAirports",\N
\N,2421,"Bagabag Airport","Bagabag","Philippines","RPUZ",16.6191997528076,121.251998901367,820,8,"N","Asia/Manila","airport","OurAirports",\N
\N,2428,"Guiuan Airport","Guiuan","Philippines","RPVG",11.0354995728,125.741996765,7,8,"N","Asia/Manila","airport","OurAirports",\N
\N,5852,"Cayo Coco Airport","Cayo Coco","Cuba","MUOC",22.5132007599,-78.5110015869,6,-5,"U","America/Havana","airport","OurAirports",\N
\N,2435,"Evelio Javier Airport","San Jose","Philippines","RPVS",10.765999794,121.932998657,23,8,"N","Asia/Manila","airport","OurAirports",\N
\N,1255,"Péronne-Saint-Quentin Airport","Peronne","France","LFAG",49.8685,3.02958,295,1,"E","Europe/Paris","airport","OurAirports",\N
\N,1256,"Nangis-Les Loges Airport","Nangis","France","LFAI",48.5961990356445,3.00678992271423,428,1,"E","Europe/Paris","airport","OurAirports",\N
\N,1257,"Bagnoles-de-l'Orne-Couterne Airport","Bagnole-de-l'orne","France","LFAO",48.5457992553711,-0.387443989515305,718,1,"E","Europe/Paris","airport","OurAirports",\N
