#
# This data is modified from the original version.
# source : https://raw.githubusercontent.com/jpatokal/openflights/master/data/airlines.dat
# Modif : ColName
#

"airlineID","name","alias","IATA","ICAO","Callsign","Country","Active"
5075,"Tristar Air",NA,NA,"TSY","TRIPLE STAR","Egypt","N"
5076,"TTA - Sociedade de Transporte e Trabalho Aereo",NA,NA,"TTA","KANIMANBO","Mozambique","N"
5077,"Transteco",NA,NA,"TTC","TRANSTECO","Angola","N"
5078,"Tarhan Tower Airlines",NA,NA,"TTH",NA,"Turkey","N"
5079,"Total Linhas Aereas",NA,NA,"TTL","TOTAL","Brazil","N"
5080,"Triple O Aviation",NA,NA,"TTP","MIGHTY WING","Nigeria","N"
5081,"Transportaciones Y Servicios Aereos",NA,NA,"TTR","TRANSPORTACIONES","Mexico","N"
5082,"Transporte Aereo Tecnico Ejecutivo",NA,NA,"TTS","TECNICO","Mexico","N"
5083,"Turkmenistan Airlines","Turkmenhovayollary","T5","TUA","TURKMENISTAN","Turkmenistan","Y"
5084,"Turismo Aereo de Chile",NA,NA,"TUC","TURICHILE","Chile","N"
5085,"Tuninter",NA,"UG","TUI",NA,"Tunisia","Y"
5086,"Tulpar Air",NA,NA,"TUL","URSAL","Russia","N"
5087,"Tyumenspecavia",NA,NA,"TUM","TUMTEL","Russia","N"
5088,"Taxi Aereo Turistico",NA,NA,"TUO","TURISTICO","Mexico","N"
5089,"Tulpar Air Service",NA,NA,"TUX","TULPA","Kazakhstan","N"
5090,"Tuna Aero",NA,NA,"TUZ","TUNA","Sweden","N"
5091,"Trans America Airlines",NA,NA,"TVA","TRANS-AMERICA","United States","N"
5092,"Trabajos Aereos Vascongados",NA,NA,"TVH","TRAVASA","Spain","N"
5093,"Tiramavia",NA,NA,"TVI","TIRAMAVIA","Moldova","N"
5094,"Travel Service",NA,NA,"TVL","TRAVEL SERVICE","Hungary","N"
5095,"Transavio",NA,NA,"TVO","TRANS-BALLERIO","Italy","N"
5096,"Tavrey Airlines",NA,"T6","TVR","TAVREY","Ukraine","N"
5097,"Travel Service",NA,"QS","TVS","SKYTRAVEL","Czech Republic","Y"
5098,"Trans World Airlines","TWA","TW","TWA","TWA","United States","N"
5099,"Transwede Airways",NA,NA,"TWE","TRANSWEDE","Sweden","N"
5100,"Twinjet Aircraft Sales",NA,NA,"TWJ",NA,"United Kingdom","N"
5101,"Tradewinds Aviation",NA,NA,"TWL","TRADEWINDS CANADA","Canada","N"
5102,"Transairways",NA,NA,"TWM",NA,"Mozambique","N"
5103,"Twente Airlines",NA,NA,"TWO","COLIBRI","Netherlands","N"
5104,"Trans Air Welwitchia",NA,NA,"TWW","WELWITCHIA","Angola","N"
5105,"Texair Charter",NA,NA,"TXA","OKAY AIR","United States","N"
5106,"Transaviaexport",NA,"AL","TXC","TRANSEXPORT","Belarus","N"
5107,"Transilvania Express",NA,NA,"TXE","TRANSAIR EXPRESS","Romania","N"
5108,"Taxi Aereo Cozatl",NA,NA,"TXL","TAXI COZATL","Mexico","N"
5109,"Taxi Aereo de Mexico",NA,NA,"TXM","TAXIMEX","Mexico","N"
5110,"Texas National Airlines",NA,NA,"TXN","TEXAS NATIONAL","United States","N"
5111,"Taxis Aereos de Sinaloa",NA,NA,"TXO","TAXIS SINALOA","Mexico","N"
5112,"Taxirey",NA,NA,"TXR","TAXIREY","Mexico","N"
5113,"Texas Airlines",NA,NA,"TXS","TEXAIR","United States","N"
5114,"Texas Air Charters",NA,NA,"TXT","TEXAS CHARTER","United States","N"
5115,"Tex Star Air Freight",NA,NA,"TXZ","TEX STAR","United States","N"
5116,"Tayflite",NA,NA,"TYF","TAYFLITE","United Kingdom","N"
5117,"Trygg-Flyg",NA,NA,"TYG","TRYGG","Sweden","N"
5118,"Tyrol Air Ambulance",NA,NA,"TYW","TYROL AMBULANCE","Austria","N"
5119,"Transporte Aereo Ernesto Saenz",NA,NA,"TZE","TRANSPORTE SAENZ","Mexico","N"
5120,"Tajikstan",NA,NA,"TZK","TAJIKSTAN","Tajikistan","N"
5121,"Thyssen Krupp AG",NA,NA,"BLI","BLUELINE","Germany","N"
5122,"TUIfly Nordic",NA,"6B","BLX","BLUESCAN","Sweden","Y"
5123,"Transportes Aereos Bolivianos",NA,NA,"BOL","BOL","Bolivia","N"
5124,"Tiphook PLC",NA,NA,"BOX","BOX","United Kingdom","N"
5125,"Top Flight Air Service",NA,NA,"CHE","CHECK AIR","United States","N"
5126,"Trans America",NA,NA,"CLR","CLINTON AIRWAYS","United States","N"
5127,"Triple Alpha",NA,NA,"CLU","CAROLUS","Germany","N"
5128,"Tashkent Aircraft Production Corporation",NA,NA,"CTP","CORTAS","Uzbekistan","N"
5129,"Texas Airways",NA,NA,"CWT","TEXAS AIRWAYS","United States","N"
5130,"Transportes Aereos Don Carlos",NA,NA,"DCL","DON CARLOS","Chile","N"
5131,"Telnic Limited",NA,NA,"DOT","DOT TEL","United Kingdom","N"
5132,"Triton Airlines",NA,NA,"DRC","TRITON AIR","Canada","N"
5133,"TAAG Angola Airlines",NA,"DT","DTA","DTA","Angola","Y"
5134,"Tassili Airlines",NA,"SF","DTH","TASSILI AIR","Algeria","N"
5135,"Transporte Ejecutivo Aereo",NA,NA,"EAR","EJECUTIVO-AEREO","Mexico","N"
5136,"Transportes Aereos Nacionales De Selva Tans",NA,NA,"ELV","AEREOS SELVA","Peru","N"
5137,"TAG Farnborough Airport",NA,NA,"FBO",NA,"United Kingdom","N"
5138,"Transaviaservice",NA,NA,"FNV","TRANSAVIASERVICE","Georgia","N"
5139,"TAG Aviation",NA,NA,"FPG","TAG AVIATION","Switzerland","N"
5140,"The 955 Preservation Group",NA,NA,"GFN","GRIFFON","United Kingdom","N"
5141,"Trans-Air-Link",NA,NA,"GJB","SKY TRUCK","United States","N"
5142,"Tradewind Aviation",NA,NA,"GPD","GOODSPEED","United States","N"
5143,"Trail Lake Flying Service",NA,NA,"HBA","HARBOR AIR","United States","N"
5144,"TAF Helicopters",NA,NA,"HET","HELITAF","Spain","N"
5145,"Tango Bravo",NA,NA,"HTO","HELI TANGO","France","N"
5146,"Turkish Air Force",NA,NA,"HVK","TURKISH AIRFORCE","Turkey","Y"
5147,"Thryluthjonustan",NA,NA,"IHS",NA,"Iceland","N"
5148,"TA-Air Airline",NA,NA,"IRF","TA-AIR","Iran","N"
5149,"Tara Air Line",NA,NA,"IRR","TARAIR","Iran","N"
5150,"Trading Air Cargo",NA,NA,"JCH","TRADING CARGO","Mauritania","N"
5151,"Trans-Kiev",NA,NA,"KCA","TRANS-KIEV","Ukraine","N"
5152,"Tal Air Charters",NA,NA,"JEL","JETEL","Canada","N"
5153,"Transcontinental Airlines",NA,NA,"KRA","REGATA","Kazakhstan","N"
5154,"Transaviabaltika",NA,NA,"KTB","TRANSBALTIKA","Lithuania","N"
5155,"Transair-Gyraintiee",NA,NA,"KTS","KOTAIR","Russia","N"
5156,"TAM Mercosur",NA,"PZ","LAP","PARAGUAYA","Paraguay","Y"
5157,"The Lancair Company",NA,NA,"LCC","LANCAIR","United States","N"
5158,"The Army Aviation Heritage Foundation",NA,NA,"LEG","LEGACY","United States","N"
5159,"Top Sky International",NA,NA,"LKW","TOPINTER","Indonesia","N"
5160,"Trans States Airlines",NA,"AX","LOF","WATERSKI","United States","Y"
5161,"Trans Atlantis",NA,NA,"LTA","LANTRA","Canada","N"
5162,"Transportacion Aerea Del Mar De Cortes",NA,NA,"MCT","TRANS CORTES","Mexico","N"
5163,"Transporte Aero MGM",NA,NA,"MGM","AERO EMM-GEE-EMM","Mexico","N"
5164,"Tigerfly",NA,NA,"MOH","MOTH","United Kingdom","N"
5165,"Transportes Aereos Amparo",NA,NA,"MPO","AMPARO","Mexico","N"
5166,"Trans Air",NA,NA,"MUI","MAUI","United States","N"
5167,"Transportes Aereos Mexiquenses",NA,NA,"MXQ","MEXIQUENSES","Mexico","N"
5168,"Travelsky Technology",NA,"1E",NA,NA,"China","N"
5169,"Thalys",NA,"2H",NA,NA,"Belgium","N"
5171,"TNT International Aviation",NA,NA,"NTR","NITRO","United Kingdom","N"
5172,"Open Skies Consultative Commission",NA,"1L","OSY","OPEN SKIES","United States","N"
5173,"Trans-Pacific Orient Airways",NA,NA,"PCW","PACIFIC ORIENT","Philippines","N"
5174,"Tauranga Aer Club",NA,NA,"PGS",NA,"New Zealand","N"
5175,"TSSKB-Progress",NA,NA,"PSS","PROGRESS","Russia","N"
5176,"Trans World Express",NA,NA,"RBD","RED BIRD","United States","N"
5177,"Trans Reco",NA,NA,"REC","TRANS-RECO","Mauritania","N"
5178,"Tas Aviation",NA,NA,"RMS","TASS AIR","United States","N"
5179,"Tarom",NA,"RO","ROT","TAROM","Romania","Y"
5180,"Transportes Aereos I.R. Crusoe",NA,NA,"ROU","ROBINSON CRUSOE","Chile","N"
5181,"Transportes Aereos Sierra",NA,NA,"RRT","SIERRA ALTA","Mexico","N"
5182,"Tbilisi Aviation University",NA,NA,"RRY","AIRFERRY","Georgia","N"
5183,"Trans Am Compania",NA,NA,"RTM","AERO TRANSAM","Ecuador","N"
5184,"Trans Sahara Air",NA,NA,"SBJ","TRANS SAHARA","Nigeria","N"
5185,"Transportes Aereos Sierra Madre",NA,NA,"SEI","TRANSPORTE SIERRA","Mexico","N"
5186,"Trans Asian Airlines",NA,NA,"SRT","TRASER","Kazakhstan","N"
5187,"Turan Air",NA,"3T","URN","TURAN","Azerbaijan","Y"
5188,"TRIP Linhas A",NA,"8R","TIB","TRIP","Brazil","Y"
5189,"Tusheti",NA,NA,"USB","TUSHETI","Georgia","N"
5190,"TAPC Aviatrans Aircompany",NA,NA,"UTM","AVIATAPS","Uzbekistan","N"
5191,"Trans-Ulgii",NA,NA,"UTN","TRANS-ULGII","Mongolia","N"
5192,"Transarabian Transportation Services",NA,NA,"UTT","ARABIAN TRANSPORT","Uganda","N"
5193,"Transaven",NA,NA,"VEN","TRANSAVEN AIRLINE","Venezuela","N"
5194,"Tag Aviation UK",NA,NA,"VIP","SOVEREIGN","United Kingdom","N"
5195,"Tbilaviamsheni",NA,NA,"VNZ","TBILAVIA","Georgia","N"
5196,"Taxi de Veracruz",NA,NA,"VRC","VERACRUZ","Mexico","N"
5197,"Travel Express Aviation Services",NA,NA,"XAR","TRAVEL EXPRESS","Indonesia","N"
5198,"Taxi Aero Del Norte",NA,NA,"XNR","TAXI NORTE","Mexico","N"
5199,"Transports et Travaux A",NA,"OF",NA,NA,NA,"N"
5202,"USAF Air Mobility Operations Control Center",NA,NA,"DOD",NA,"United States","N"
5203,"U.S. Department of the Interior",NA,NA,"DOI","INTERIOR","United States","N"
5204,"United Kingdom Civil Aviation Authority",NA,NA,"EXM","EXAM","United Kingdom","N"
5205,"Union des Transports Africains de Guinee",NA,NA,"GIH","TRANSPORT AFRICAIN","Guinea","N"
5206,"US Army Parachute Team",NA,NA,"GKA","GOLDEN KNIGHTS","United States","N"
5207,"USA3000 Airlines",NA,"U5","GWY","GETAWAY","United States","Y"
5208,"United Arabian Airlines",NA,NA,"UAB","UNITED ARABIAN","Sudan","N"
5209,"United Airlines",NA,"UA","UAL","UNITED","United States","Y"
5210,"United Air Charters",NA,NA,"UAC","UNITAIR","Zimbabwe","Y"
5211,"United Carriers Systems",NA,NA,"UCS","UNITED CARRIERS","United States","N"
5212,"United Eagle Airlines",NA,NA,"UEA","UNITED EAGLE","China","N"
5213,"United Feeder Service",NA,"U2",NA,NA,"United States","N"
5214,"United Kingdom Civil Aviation Authority",NA,NA,"CFU","MINAIR","United Kingdom","N"
5215,"United Kingdom Royal VIP Flights",NA,NA,"KRF","KITTYHAWK","United Kingdom","N"
5216,"United Kingdom Royal VIP Flight",NA,NA,"KRH","SPARROWHAWK","United Kingdom","N"
5217,"United Kingdom Civil Aviation Authority",NA,NA,"SDS","STANDARDS","United Kingdom","N"
5218,"United Kingdom Royal VIP Flights",NA,NA,"TQF","RAINBOW","United Kingdom","N"
5219,"United States Coast Guard Auxiliary",NA,NA,"CGX","COASTGUARD AUXAIR","United States","N"
5220,"United States Department Of Agriculture",NA,NA,"AGR","AGRICULTURE","United States","N"
5221,"University Air Squadron",NA,NA,"UAD",NA,"United Kingdom","N"
5222,"University Air Squadron",NA,NA,"UAJ",NA,"United Kingdom","N"
5223,"University Air Squadron",NA,NA,"UAA",NA,"United Kingdom","N"
5224,"University Air Squadron",NA,NA,"UAH",NA,"United Kingdom","N"
5225,"Universal Avia",NA,NA,"HBU","KHARKIV UNIVERSAL","Ukraine","N"
5226,"UK HEMS",NA,NA,"HLE","HELIMED","United Kingdom","N"
5227,"USA Jet Airlines",NA,"U7","JUS","JET USA","United States","N"
5228,"Unijet",NA,NA,"LEA","LEADAIR","France","N"
5229,"US Marshals Service",NA,NA,"MSH","MARSHALAIR","United States","N"
5230,"University of North Dakota",NA,NA,"NDU","SIOUX","United States","N"
5231,"Universal Airlines",NA,NA,"PNA","PACIFIC NORTHERN","United States","N"
5232,"Uganda Royal Airways",NA,NA,"RAU","UGANDA ROYAL","Uganda","N"
5233,"United Aviation Services",NA,NA,"SAU","UNISERVE","Spain","N"
5234,"Ural Airlines",NA,"U6","SVR","SVERDLOVSK AIR","Russia","Y"
5235,"Ukraine Transavia",NA,NA,"TRB","KIROVTRANS","Ukraine","N"
5236,"United Arab Emirates Air Force",NA,NA,"UAF","UNIFORCE","United Arab Emirates","N"
5237,"Union Africaine des Transports",NA,NA,"UAI","UNAIR","Ivory Coast","N"
5238,"Uganda Air Cargo",NA,NA,"UCC","UGANDA CARGO","Uganda","N"
5239,"US Airports Air Charter",NA,NA,"UCH","US CHARTER","United States","N"
5240,"Ucoaviacion",NA,NA,"UCO","UCOAVIACION","Spain","N"
5241,"Ues-Avia Aircompany",NA,NA,"UES","AVIASYSTEM","Ukraine","N"
5242,"UFS",NA,NA,"UFS","FEEDER EXPRESS","United States","N"
5243,"Uganda Airlines",NA,NA,"UGA","UGANDA","Uganda","N"
5244,"Urgemer Canarias",NA,NA,"UGC","URGEMER","Spain","N"
5245,"Ukrainian Helicopters",NA,NA,"UHL","UKRAINE COPTERS","Ukraine","N"
5246,"Ulyanovsk Higher Civil Aviation School",NA,NA,"UHS","PILOT AIR","Russia","N"
5247,"Universal Jet Rental de Mexico",NA,NA,"UJR","UNIVERSAL JET","Mexico","N"
5248,"Universal Jet Aviation",NA,NA,"UJT","UNI-JET","United States","N"
5249,"UK International Airlines",NA,NA,"UKI","KHALIQ","United Kingdom","N"
5250,"Ukraine Air Alliance",NA,NA,"UKL","UKRAINE ALLIANCE","Ukraine","N"
5251,"UM Airlines",NA,"UF","UKM","UKRAINE MEDITERRANEE","Ukraine","Y"
5252,"Ukraine Air Enterprise",NA,NA,"UKN","ENTERPRISE UKRAINE","Ukraine","N"
5253,"United Kingdom Home Office",NA,NA,"UKP","POLICE","United Kingdom","N"
5254,"Ukrainian Cargo Airways",NA,"6Z","UKS","CARGOTRANS","Ukraine","N"
5255,"Ultrair",NA,NA,"ULT","ULTRAIR","United States","N"
5256,"Unitemp-M",NA,NA,"UMS","TOPAZ","Russia","N"
5257,"Uni-Fly",NA,NA,"UNC","UNICOPTER","Denmark","N"
5258,"Union Flights",NA,NA,"UNF","UNION FLIGHTS","United States","N"
5259,"Universal Jet",NA,NA,"UNJ","PROJET","Spain","N"
5260,"Unsped Paket Servisi",NA,NA,"UNS","UNSPED","Turkey","N"
5261,"Unifly Servizi Aerei",NA,NA,"UNU","UNIEURO","Italy","N"
5262,"Ukrainian Pilot School",NA,NA,"UPL","PILOT SCHOOL","Ukraine","N"
5263,"United Parcel Service",NA,"5X","UPS","UPS","United States","N"
5264,"Uraiavia",NA,NA,"URV","URAI","Russia","N"
5265,"US Airways",NA,"US","USA","U S AIR","United States","Y"
5266,"US Check Airlines",NA,NA,"USC","STAR CHECK","United States","N"
5267,"USAfrica Airways",NA,NA,"USF","AFRICA EXPRESS","United States","N"
5268,"US Helicopter",NA,NA,"USH","US-HELI","United States","Y"
5269,"US Jet",NA,NA,"USJ","USJET","United States","N"
5270,"US Express",NA,NA,"USX","AIR EXPRESS","United States","N"
5271,"UTair Aviation",NA,"UT","UTA","UTAIR","Russia","Y"
5272,"UTAGE",NA,NA,"UTG","UTAGE","Equatorial Guinea","N"
5273,"Utair South Africa",NA,NA,"UTR","AIRUT","South Africa","N"
5274,"Ukrainian State Air Traffic Service Enterprise",NA,NA,"UTS","AIRRUH","Ukraine","N"
5275,"Urartu-Air",NA,NA,"UTU",NA,"Armenia","N"
5276,"Universal Airways",NA,NA,"UVA","UNIVERSAL","United States","N"
5277,"Universal Airlines",NA,NA,"UVG","GUYANA JET","Guyana","N"
5278,"Uvavemex",NA,NA,"UVM","UVAVEMEX","Mexico","N"
5279,"United States Air Force",NA,NA,"AIO","AIR CHIEF","United States","Y"
5280,"United Aviation",NA,NA,"UVN","UNITED AVIATION","Kuwait","N"
5281,"Uzbekistan Airways",NA,"HY","UZB","UZBEK","Uzbekistan","Y"
5282,"Ukraine International Airlines",NA,"PS","AUI","UKRAINE INTERNATIONAL","Ukraine","Y"
5283,"Universal Airlines",NA,NA,"WEC","AIRGO","United States","N"
5284,"US Helicopter Corporation",NA,"UH",NA,NA,"United States","Y"
5288,"V Australia Airlines",NA,"VA","VAU","KANGA","Australia","N"
5289,"V Bird Airlines Netherlands",NA,NA,"VBA","VEEBEE","Netherlands","N"
5290,"V-avia Airline",NA,NA,"WIW","VEE-AVIA","Ukraine","N"
5291,"V-Berd-Avia",NA,NA,"VBD","VEEBIRD-AVIA","Armenia","N"
5292,"Vacationair",NA,NA,"VAC","VACATIONAIR","Canada","N"
5293,"Valair AG (Helicoptere)",NA,NA,"RDW","ROADWATCH","Switzerland","N"
5294,"Valan International Cargo Charter",NA,NA,"VLA","NALAU","South Africa","N"
5295,"Valan Limited",NA,NA,"VLN","VALAN","Moldova","N"
5296,"Valfell-Verkflug",NA,NA,"EHR","ROTOR","Iceland","N"
5297,"Valuair",NA,"VF","VLU","VALUAIR","Singapore","Y"
5298,"Van Air Europe",NA,NA,"VAA","EUROVAN","Czech Republic","N"
5299,"Vanguardia en Aviacion en Colima",NA,NA,"VGC","VANGUARDIA COLIMA","Mexico","N"
5300,"Vanguard Airlines",NA,NA,"VGD","VANGUARD AIR","United States","N"
5301,"Vasco Air",NA,NA,"VFC","VASCO AIR","Vietnam","Y"
5302,"Vega",NA,NA,"VAG","SEGA","Kazakhstan","N"
5303,"Vega Air Company",NA,NA,"WGA","WEGA FRANKO","Ukraine","N"
5304,"Veles",NA,NA,"WEL"," Ukrainian Aviation Company","VELES","N"
5305,"Verataxis",NA,NA,"VTX","VERATAXIS","Mexico","N"
